id,inid,pid,mod_no,s/n,rate,qty,discount,Amount,tax,tax_amount,owner,Alias
2041,47,201,NULL,3E04942PAG05706,2500,1,10%,2250,NULL,NULL,2,false
2038,47,28,NULL,,35,2,,70,NULL,NULL,2,false
2039,47,65,NULL,,1500,1,10%,1350,NULL,NULL,2,false
2040,47,136,NULL,,65,50,10%,2925,NULL,NULL,2,false
2037,47,34,NULL,,1350,1,10%,1215,NULL,NULL,2,false
2063,48,217,NULL,,1900,5,,9500,NULL,NULL,2,false
2015,37,195,NULL,VAC1710095I1016,2800,1,5%,2660,NULL,NULL,2,false
2034,44,65,NULL,,1000,1,,1000,NULL,NULL,2,false
2047,49,218,NULL,,600,1,,600,NULL,NULL,2,false
2062,50,12,NULL,,2500,1,,2500,NULL,NULL,2,false
2099,51,16,NULL,1K0230SPAL09736,2500,1,,2500,NULL,NULL,2,false
2098,51,15,NULL,3F00B42GAL00795,2500,1,,2500,NULL,NULL,2,false
2097,51,16,NULL,1K0230SPAL09736,2500,1,,2500,NULL,NULL,2,false
2094,51,27,NULL,,45,6,,270,NULL,NULL,2,false
2095,51,28,NULL,,35,3,,105,NULL,NULL,2,false
2096,51,16,NULL,1K0230SPAL09739,2500,1,,2500,NULL,NULL,2,false
2265,52,220,NULL,,110,10,,1100,NULL,NULL,2,false
2250,54,65,NULL,,600,9,,5400,NULL,NULL,2,false
2249,54,28,NULL,,45,9,,405,NULL,NULL,2,false
2296,53,55,NULL,,100,3,,300,NULL,NULL,2,false
2295,53,65,NULL,,5000,1,,5000,NULL,NULL,2,false
2294,53,20,NULL,Z526C5KA,5400,1,,5400,NULL,NULL,2,false
2293,53,27,NULL,,45,4,,180,NULL,NULL,2,false
2292,53,21,NULL,4A01A89PAZ0FA03,7000,1,,7000,NULL,NULL,2,false
2248,54,163,NULL,,1900,9,,17100,NULL,NULL,2,false
2247,54,27,NULL,,54,18,,972,NULL,NULL,2,false
2291,53,37,NULL,,350,1,,350,NULL,NULL,2,false
2290,53,16,NULL,,2500,1,,2500,NULL,NULL,2,false
2289,53,221,NULL,,90,50,,4500,NULL,NULL,2,false
2288,53,82,NULL,,65,45,,2925,NULL,NULL,2,false
2262,55,35,NULL,,1800,1,,1800,NULL,NULL,2,false
2303,58,133,NULL,vac1710095a076767,2150,1,,2150,NULL,NULL,2,false
2301,58,55,NULL,,100,2,,200,NULL,NULL,2,false
2302,58,133,NULL,vac1708315a47507,2150,1,,2150,NULL,NULL,2,false
2297,53,214,NULL,,950,1,,950,NULL,NULL,2,false
2317,59,194,NULL,,2542,1,,2542,NULL,NULL,2,false
2316,59,133,NULL,,2500,1,,2500,NULL,NULL,2,false
2315,59,35,NULL,,1800,1,,1800,NULL,NULL,2,false
2314,59,22,NULL,,3000,1,,3000,NULL,NULL,2,false
2342,63,16,NULL,3J065B0PAR01464,2700,1,5%,2565,NULL,NULL,2,false
2341,63,48,NULL,ZDH4PGA4,9500,1,5%,9025,NULL,NULL,2,false
2339,63,35,NULL,,1800,1,5%,1710,NULL,NULL,2,false
2340,63,138,NULL,3G0007CPA532450,9000,1,5%,8550,NULL,NULL,2,false
2338,63,65,NULL,,2000,1,5%,1900,NULL,NULL,2,false
2337,63,27,NULL,,45,15,5%,641.25,NULL,NULL,2,false
2343,63,236,NULL,,2500,4,5%,9500,NULL,NULL,2,false
2345,64,197,NULL,,3900,2,,7800,NULL,NULL,2,false
