Id,inid,pid,Inward,outward,bal,owner,mod_no. ,sn,alias
312,36,15,0,1,24,2,NULL,3E04942PAG07309,false
311,36,49,0,1,0,2,NULL,8806087942613,false
310,36,16,0,1,0,2,NULL,3E07A60PAR05656,false
309,36,16,0,1,1,2,NULL,3F02EAEPAR01699,false
308,36,16,0,1,2,2,NULL,3F02EAEPAR02570,false
307,36,16,0,1,3,2,NULL,3E07A60PAR06012,false
306,36,16,0,1,4,2,NULL,3E07A60PAR05646,false
305,36,16,0,1,5,2,NULL,3F02EAEPAR02608,false
303,36,35,0,2,8,2,NULL,,false
304,36,15,0,1,25,2,NULL,3E04942PAG05060,false
407,33,50,1,0,1,2,NULL,3D00028PA517881,false
406,37,50,1,0,2,2,NULL,3D00028PA517864,false
325,35,51,1,0,1,2,NULL,CZAV709PMYH066266PO,false
469,34,42,1,0,21,2,NULL,3E04942PAG03404,false
468,34,42,1,0,20,2,NULL,3E04942PAG07156,false
467,34,42,1,0,11,2,NULL,3E04942PAG05353,false
466,34,42,1,0,12,2,NULL,3E04942PAG04424,false
465,34,42,1,0,13,2,NULL,3E04942PAG05966,false
464,34,42,1,0,14,2,NULL,3E04942PAG05724,false
463,34,42,1,0,15,2,NULL,3E04942PAG05705,false
462,34,42,1,0,16,2,NULL,3E04942PAG05127,false
461,34,42,1,0,17,2,NULL,3E04942PAG05120,false
460,34,42,1,0,18,2,NULL,3E04942PAG07309,false
459,34,42,1,0,19,2,NULL,3E04942PAG05060,false
408,38,54,2,0,2,2,NULL,,false
409,39,39,1,0,101,2,NULL,,false
410,40,15,0,1,16,2,NULL,3F06064PAG03857,false
411,40,50,0,1,1,2,NULL,3D00028PA517881,false
438,41,16,1,0,1,2,NULL,3H01B2EGAR00819,false
437,41,22,1,0,11,2,NULL,3D05ECDPAR00269,false
436,41,22,1,0,10,2,NULL,3D05ECDPAR02166,false
435,41,22,1,0,9,2,NULL,3D05ECDPAR00723,false
434,41,22,1,0,8,2,NULL,3D05ECDPAR00342,false
433,41,22,1,0,7,2,NULL,3D05ECDPAR02976,false
432,41,22,1,0,6,2,NULL,3D05ECDPAR01598,false
488,34,53,1,0,7,2,NULL,3E07A60PAR05656,false
489,34,53,1,0,6,2,NULL,3E07A60PAR01699,false
490,34,53,1,0,5,2,NULL,3E07A60PAR02570,false
491,34,53,1,0,4,2,NULL,3E07A60PAR06012,false
492,34,53,1,0,3,2,NULL,3E07A60PAR05646,false
493,34,53,1,0,2,2,NULL,3E07A60PAR02608,false
557,42,50,0,1,0,2,NULL,3D00028PA517864,false
556,42,28,0,13,87,2,NULL,,false
555,42,27,0,26,174,2,NULL,,false
554,42,53,0,1,6,2,NULL,3H01B2EGAR00819,false
553,42,53,0,1,7,2,NULL,3E07A60PAR05670,false
552,42,53,0,1,8,2,NULL,3E07A60PAR05667,false
551,42,53,0,1,9,2,NULL,3F02EAEPAR02830,false
550,42,53,0,1,10,2,NULL,3E07A60PAR05636,false
549,42,53,0,1,11,2,NULL,3E07A60PAR06152,false
548,42,53,0,1,12,2,NULL,3F02EAEPAR02933,false
547,42,53,0,1,13,2,NULL,3E07A60PAR06343,false
546,42,53,0,1,14,2,NULL,3E07A60PAR05653,false
545,42,53,0,1,5,2,NULL,3E07A60PAR05963,false
544,42,42,0,1,29,2,NULL,3E04942PAG05711,false
543,42,42,0,1,28,2,NULL,3E04942PAG04728,false
542,42,36,0,1,-1,2,NULL,,false
541,42,37,0,12,38,2,NULL,,false
540,43,48,1,0,0,2,NULL,ZFN0SN9C,false
558,42,48,0,1,-1,2,NULL,ZFN0SN9C,false
559,44,48,1,0,1,2,NULL,ZGY0Z04G,false
573,45,28,0,3,84,2,NULL,,false
572,45,48,0,1,0,2,NULL,ZGY0Z04G,false
571,45,42,0,1,27,2,NULL,3E04942PAG05276,false
570,45,42,0,1,26,2,NULL,3E04942PAG05163,false
569,45,42,0,1,25,2,NULL,3E04942PAG03404,false
568,46,50,13,0,12,2,NULL,,false
574,45,27,0,6,168,2,NULL,,false
575,45,55,0,3,-3,2,NULL,,false
576,45,36,0,1,-2,2,NULL,,false
577,45,50,0,1,-1,2,NULL,3H0007FPA538274,false
602,47,57,1,0,1,2,NULL,A6FE174260704,false
601,47,56,1,0,1,2,NULL,3H0373CPBQD76ZL,false
600,47,19,1,0,20,2,NULL,3H05D68PAL06655,false
599,47,19,1,0,19,2,NULL,3H04EF6PAL02230,false
598,47,19,1,0,18,2,NULL,3H05D68PAL06658,false
597,47,19,1,0,17,2,NULL,3H04EF6PAL02712,false
596,47,19,1,0,16,2,NULL,3G01F81PAL00864,false
595,47,19,1,0,15,2,NULL,3H04EF6PAL02835,false
594,47,19,1,0,14,2,NULL,3H05D68PAL06654,false
593,47,19,1,0,13,2,NULL,3H04EF6PAL02257,false
592,47,19,1,0,12,2,NULL,3H05D68PAL06677,false
